analysis_group,group_type,method,sample_count,requested_k,realized_mean_k,mean_tavily_calls,mean_unique_urls,mean_unique_domains,duplicate_url_rate,mean_synthesis_context_size,mean_planner_calls,mean_synthesis_calls,mean_assessor_calls,mean_total_llm_calls,mean_search_latency,mean_total_latency,fanout_faithfulness_to_query_mean,fanout_faithfulness_to_user_query_mean,fanout_overpersonalization_risk_mean,fanout_persona_field_use_mean,fanout_query_diversity_mean,fanout_query_specificity_mean,fanout_search_realism_mean,final_actionability_without_overclaiming_mean,final_citation_support_mean,final_contradiction_with_evidence_mean,final_domain_safety_mean,final_evidence_usage_quality_mean,final_groundedness_mean,final_intent_satisfaction_mean,final_missing_constraint_awareness_mean,final_non_genericness_mean,final_overpersonalization_mean,final_personalization_target_use_mean,final_safety_mean,final_specificity_mean,final_uncertainty_calibration_mean,final_unsupported_claim_risk_mean,retrieval_constraint_coverage_mean,retrieval_disconfirming_coverage_mean,retrieval_distractor_robustness_mean,retrieval_evidence_relevance_mean,retrieval_result_persona_fit_mean,retrieval_source_quality_mean,retrieval_unsafe_or_overpersonalized_retrieval_risk_mean
shopping_product_recommendation,task_category,fixed_k4,6,4,4.00,4.00,18.67,16.17,0.0667,22795.3,1.00,1.00,0.00,2.00,8.81,33.16,0.0000,4.8333,1.1667,4.3333,5.0000,4.6667,4.6667,4.6000,5.0000,1.0000,5.0000,4.8333,4.8333,3.6000,4.2000,4.0000,1.4000,3.2000,5.0000,4.6000,4.6000,1.1667,4.6667,5.0000,5.0000,4.6667,5.0000,4.8333,5.0000
shopping_product_recommendation,task_category,fixed_k8,6,8,8.00,8.00,37.50,29.33,0.0625,45373.7,1.00,1.00,0.00,2.00,17.34,48.57,0.0000,4.6667,1.0000,4.5000,5.0000,4.8333,4.8333,5.0000,5.0000,1.0000,4.6667,5.0000,5.0000,4.1667,4.6667,5.0000,1.0000,3.1667,4.6667,5.0000,4.6667,1.0000,4.8333,5.0000,5.0000,4.6667,5.0000,4.6667,5.0000
synthesis_sensitive,task_type,fixed_k1,36,1,1.00,1.00,5.00,4.97,0.0000,6554.7,0.97,1.00,0.00,1.97,1.73,25.75,0.0000,4.9167,1.0000,1.2500,1.0000,2.2222,4.5556,3.3889,4.8333,1.0278,3.4444,4.6111,4.4722,2.3750,2.9167,2.7778,1.3056,2.3889,3.6667,3.1111,3.5278,1.5278,2.3611,5.0000,5.0000,4.0000,2.4444,3.6389,5.0000
synthesis_sensitive,task_type,fixed_k2,36,2,2.00,2.00,9.61,9.33,0.0361,12202.9,0.97,1.00,0.00,1.97,3.39,27.87,0.0000,4.9444,1.1389,3.0278,2.8056,3.8056,4.6111,3.6944,4.9722,1.0000,3.4444,4.8694,4.7861,2.8611,3.2222,3.2222,1.1667,2.6389,3.7778,3.4722,3.6667,1.2361,3.5833,5.0000,5.0000,4.5278,3.9583,4.2222,5.0000
synthesis_sensitive,task_type,fixed_k4,36,4,4.00,4.00,18.39,17.06,0.0792,23502.1,0.97,1.00,0.00,1.97,6.92,33.34,5.0000,5.0000,1.0278,4.3056,4.7778,4.8889,4.9444,3.9444,4.9722,1.0000,3.6111,4.9167,4.8333,3.1806,3.6389,3.7778,1.1944,3.3194,3.8333,3.9444,4.0278,1.1667,4.3611,4.6944,5.0000,4.7778,4.4444,4.7500,5.0000
synthesis_sensitive,task_type,fixed_k8,36,8,8.00,8.00,36.83,31.44,0.0785,47101.7,0.94,1.00,0.00,1.94,13.88,47.93,0.0000,5.0000,1.0556,4.9167,4.9722,4.9444,4.9444,4.2571,5.0000,1.0000,3.6286,5.0000,5.0000,3.7429,3.7714,4.3714,1.2857,4.0000,3.8857,4.4857,4.2000,1.0000,4.3333,4.7222,5.0000,4.8056,4.5556,4.7500,5.0000
technical_explanation,task_category,fixed_k1,6,1,1.00,1.00,5.00,5.00,0.0000,7542.3,1.00,1.00,0.00,2.00,2.09,29.88,0.0000,4.8333,1.0000,1.3333,1.0000,2.0000,4.3333,3.3333,5.0000,1.0000,4.6667,4.3333,4.1667,2.0000,2.8333,2.5000,1.0000,2.1667,4.6667,2.8333,4.0000,1.8333,2.5000,5.0000,5.0000,4.3333,2.8333,3.5000,5.0000
technical_explanation,task_category,fixed_k2,6,2,2.00,2.00,9.83,9.67,0.0167,13392.0,1.00,1.00,0.00,2.00,3.65,32.85,0.0000,4.8333,1.3333,2.8333,2.8333,3.5000,4.5000,4.0000,5.0000,1.0000,4.8333,4.7500,4.5833,3.0000,4.0000,3.1667,1.0000,2.5000,4.8333,3.5000,4.3333,1.3333,3.5000,5.0000,5.0000,4.3333,4.3333,4.6667,5.0000
technical_explanation,task_category,fixed_k4,6,4,4.00,4.00,18.83,17.33,0.0583,24550.0,1.00,1.00,0.00,2.00,7.46,37.61,0.0000,5.0000,1.1667,4.5000,5.0000,4.6667,5.0000,4.3333,5.0000,1.0000,4.8333,4.8333,4.8333,3.6667,4.5000,3.6667,1.0000,3.8333,4.8333,4.0000,4.8333,1.1667,4.8333,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
technical_explanation,task_category,fixed_k8,6,8,8.00,8.00,38.17,30.83,0.0458,50639.7,1.00,1.00,0.00,2.00,16.00,55.64,0.0000,5.0000,1.1667,5.0000,5.0000,5.0000,5.0000,4.6667,5.0000,1.0000,4.6667,5.0000,5.0000,3.8333,4.3333,4.1667,1.3333,4.1667,4.8333,4.3333,4.8333,1.0000,4.6667,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
travel_dining,task_category,fixed_k1,6,1,1.00,1.00,5.00,5.00,0.0000,6660.3,1.00,1.00,0.00,2.00,2.04,26.00,0.0000,5.0000,1.0000,1.1667,1.0000,2.1667,5.0000,2.8333,5.0000,1.0000,3.0000,4.9667,4.9667,1.6667,2.3333,2.6667,2.3333,1.3333,3.3333,3.0000,3.0000,1.0833,1.6667,5.0000,5.0000,3.6667,1.5000,3.8333,5.0000
travel_dining,task_category,fixed_k2,6,2,2.00,2.00,9.50,9.33,0.0500,11938.3,1.00,1.00,0.00,2.00,4.29,29.53,0.0000,4.6667,2.0000,2.8333,2.6667,3.5000,3.6667,3.1667,5.0000,1.0000,3.1667,4.7667,4.7167,2.0000,2.1667,3.1667,2.5000,1.6667,3.3333,3.1667,3.0000,1.3333,2.5000,5.0000,5.0000,4.0000,2.8333,4.1667,4.3333
travel_dining,task_category,fixed_k4,6,4,4.00,4.00,18.50,16.33,0.0750,22737.2,1.00,1.00,0.00,2.00,9.16,40.87,0.0000,5.0000,1.0000,4.0000,4.8333,4.5000,4.5000,4.3333,5.0000,1.0000,3.6667,4.8333,4.6667,3.1667,3.5000,3.8333,1.0000,2.8333,4.0000,3.8333,4.0000,1.3333,4.1667,4.6667,5.0000,4.1667,4.1667,4.6667,4.8333
travel_dining,task_category,fixed_k8,6,8,8.00,8.00,37.17,31.83,0.0708,45497.3,1.00,1.00,0.00,2.00,19.89,50.42,0.0000,5.0000,1.1667,4.1667,5.0000,4.8333,4.6667,4.3333,5.0000,1.0000,3.6667,4.7500,4.5000,3.0000,4.0000,4.0000,1.5000,2.8333,4.0000,4.0000,4.3333,1.5000,4.0000,4.7500,5.0000,4.3333,4.2500,4.8333,4.7500
