analysis_group,group_type,method,sample_count,requested_k,realized_mean_k,mean_tavily_calls,mean_unique_urls,mean_unique_domains,duplicate_url_rate,mean_synthesis_context_size,mean_planner_calls,mean_synthesis_calls,mean_search_latency,mean_total_latency,fanout_faithfulness_to_user_query_mean,fanout_overpersonalization_risk_mean,fanout_persona_field_use_mean,fanout_query_diversity_mean,fanout_query_specificity_mean,fanout_search_realism_mean,final_actionability_without_overclaiming_mean,final_citation_support_mean,final_contradiction_with_evidence_mean,final_domain_safety_mean,final_evidence_usage_quality_mean,final_groundedness_mean,final_intent_satisfaction_mean,final_missing_constraint_awareness_mean,final_non_genericness_mean,final_overpersonalization_mean,final_personalization_target_use_mean,final_safety_mean,final_specificity_mean,final_uncertainty_calibration_mean,final_unsupported_claim_risk_mean,retrieval_constraint_coverage_mean,retrieval_disconfirming_coverage_mean,retrieval_distractor_robustness_mean,retrieval_evidence_relevance_mean,retrieval_result_persona_fit_mean,retrieval_source_quality_mean,retrieval_unsafe_or_overpersonalized_retrieval_risk_mean
synthesis_sensitive,task_type,fixed_k4,36,4,4.00,4.00,19.28,17.75,0.0000,16723.7,1.00,1.00,9.08,35.95,5.0000,1.0000,4.4167,4.8611,4.8889,5.0000,3.7500,5.0000,1.0000,3.5278,4.9111,4.7861,2.9861,3.3611,3.5833,1.1944,2.8333,3.8333,3.7083,3.7222,1.2639,3.8889,4.6667,5.0000,4.6389,4.3611,4.3889,5.0000
synthesis_sensitive,task_type,fixed_k8,36,8,8.00,8.00,37.81,32.28,0.0000,32127.3,1.00,1.00,9.08,40.34,4.9722,1.0556,4.7778,4.9444,4.9444,4.9167,4.0139,4.9444,1.0000,3.5833,4.8889,4.8889,3.4583,3.5556,4.1806,1.4167,3.4444,3.7222,4.2361,4.0556,1.1389,4.4028,4.8056,5.0000,4.7083,4.6944,4.6528,5.0000
technical_explanation,task_category,fixed_k1,6,1,1.00,1.00,5.00,4.83,0.0000,6420.7,1.00,1.00,8.38,32.16,4.8333,1.0000,1.0000,1.0000,2.0000,4.6667,3.3333,4.3333,1.0000,4.6667,4.2500,3.7500,2.3333,3.0000,2.3333,1.0000,2.5000,4.6667,2.6667,3.8333,2.2500,2.1667,5.0000,5.0000,3.6667,2.1667,3.6667,5.0000
technical_explanation,task_category,fixed_k2,6,2,2.00,2.00,9.67,9.17,0.0000,10083.3,1.00,1.00,8.38,33.65,4.6667,1.3333,3.1667,2.6667,3.5000,4.6667,4.1667,5.0000,1.0000,5.0000,4.7500,4.5833,2.6667,3.3333,3.1667,1.0000,2.6667,5.0000,3.1667,4.5000,1.6667,3.2500,5.0000,5.0000,4.3333,4.0000,4.3333,5.0000
technical_explanation,task_category,fixed_k4,6,4,4.00,4.00,19.50,18.17,0.0000,19628.0,1.00,1.00,8.38,34.95,5.0000,1.0000,4.8333,5.0000,5.0000,5.0000,4.3333,5.0000,1.0000,4.6667,5.0000,4.6667,3.0833,4.1667,3.3333,1.0000,3.0000,4.8333,3.7500,4.6667,1.3333,4.1667,5.0000,5.0000,4.6667,4.8333,4.8333,5.0000
technical_explanation,task_category,fixed_k8,6,8,8.00,8.00,38.67,32.00,0.0000,36518.8,1.00,1.00,8.38,39.64,5.0000,1.0000,4.8333,5.0000,5.0000,5.0000,4.6667,5.0000,1.0000,5.0000,5.0000,5.0000,3.6667,4.3333,4.0000,1.0000,3.6667,5.0000,4.1667,4.8333,1.1667,4.1667,5.0000,5.0000,4.5000,4.6667,4.6667,5.0000
travel_dining,task_category,fixed_k1,6,1,1.00,1.00,5.00,5.00,0.0000,4416.7,1.00,1.00,12.52,36.15,5.0000,1.0000,1.3333,1.0000,2.6667,4.8333,3.1667,5.0000,1.0000,3.3333,4.6667,4.5000,1.8333,3.3333,2.3333,1.6667,2.0000,3.8333,2.5000,3.6667,1.6667,2.0000,5.0000,5.0000,3.3333,2.1667,3.5000,5.0000
travel_dining,task_category,fixed_k2,6,2,2.00,2.00,9.17,8.67,0.0000,7067.8,1.00,1.00,12.52,38.27,4.6667,1.3333,2.6667,2.3333,3.1667,4.1667,3.3333,5.0000,1.0000,3.1667,4.7500,4.7500,2.3333,2.0000,3.0000,1.8333,2.1667,3.6667,3.0000,3.0000,1.2500,2.6667,5.0000,5.0000,4.1667,3.1667,4.1667,5.0000
travel_dining,task_category,fixed_k4,6,4,4.00,4.00,18.50,16.33,0.0000,13792.8,1.00,1.00,12.52,37.78,5.0000,1.0000,4.5000,4.8333,4.6667,4.6667,4.0000,5.0000,1.0000,3.5000,4.6667,4.6667,2.8333,3.1667,3.6667,1.8333,2.8333,3.6667,3.3333,3.8333,1.3333,4.3333,3.5000,5.0000,4.0000,4.1667,4.1667,5.0000
travel_dining,task_category,fixed_k8,6,8,8.00,8.00,37.17,29.50,0.0000,32368.8,1.00,1.00,12.52,45.29,5.0000,1.5000,4.5000,5.0000,5.0000,5.0000,3.8333,5.0000,1.0000,4.0000,4.8333,4.8333,3.0000,3.3333,3.8333,2.1667,3.0000,4.3333,3.5000,3.8333,1.1667,4.5000,3.1667,4.8333,4.0000,4.6667,4.5000,5.0000
