analysis_group,group_type,method,sample_count,requested_k,realized_mean_k,mean_tavily_calls,mean_unique_urls,mean_unique_domains,duplicate_url_rate,mean_synthesis_context_size,mean_planner_calls,mean_synthesis_calls,mean_assessor_calls,mean_total_llm_calls,mean_search_latency,mean_total_latency,fanout_faithfulness_to_user_query_mean,fanout_overpersonalization_risk_mean,fanout_persona_field_use_mean,fanout_query_diversity_mean,fanout_query_specificity_mean,fanout_search_realism_mean,final_actionability_without_overclaiming_mean,final_citation_support_mean,final_contradiction_with_evidence_mean,final_domain_safety_mean,final_evidence_usage_quality_mean,final_groundedness_mean,final_intent_satisfaction_mean,final_missing_constraint_awareness_mean,final_non_genericness_mean,final_overpersonalization_mean,final_personalization_target_use_mean,final_safety_mean,final_specificity_mean,final_uncertainty_calibration_mean,final_unsupported_claim_risk_mean,retrieval_constraint_coverage_mean,retrieval_disconfirming_coverage_mean,retrieval_distractor_robustness_mean,retrieval_evidence_relevance_mean,retrieval_result_persona_fit_mean,retrieval_source_quality_mean,retrieval_unsafe_or_overpersonalized_retrieval_risk_mean
synthesis_sensitive,task_type,fixed_k1,36,1,1.00,1.00,5.00,5.00,0.0000,6504.0,0.97,1.00,0.00,1.97,1.61,60.54,4.8056,1.0000,1.1111,1.0000,2.2222,4.6667,3.3194,4.9167,1.0278,3.3333,4.5778,4.5583,2.4306,2.5833,2.7778,1.4167,2.3611,3.5556,3.2222,3.3333,1.4306,2.5278,5.0000,5.0000,4.4167,2.6389,4.0278,5.0000
synthesis_sensitive,task_type,fixed_k2,36,2,2.00,2.00,9.72,9.42,0.0278,12417.2,0.97,1.00,0.00,1.97,3.22,62.79,4.8056,1.3056,2.5833,2.4444,3.2778,4.6111,3.8056,5.0000,1.0278,3.4167,4.8333,4.8333,2.8611,2.9722,3.3056,1.3056,2.8056,3.4722,3.5556,3.6667,1.1944,3.8333,5.0000,5.0000,4.7778,4.1389,4.4167,4.9722
synthesis_sensitive,task_type,fixed_k4,36,4,4.00,4.00,18.53,17.28,0.0736,23111.9,0.97,1.00,0.00,1.97,6.57,67.10,4.9167,1.1944,3.6944,4.6111,4.4167,4.8889,4.0571,4.9444,1.0000,3.6571,4.8972,4.7861,3.3429,3.6000,3.8571,1.2857,3.1143,3.8286,3.8857,4.0000,1.2278,4.4167,4.9167,5.0000,4.8333,4.6389,4.8333,5.0000
synthesis_sensitive,task_type,fixed_k8,36,8,8.00,8.00,36.72,31.92,0.0819,45987.4,0.97,1.00,0.00,1.97,13.33,79.05,4.9444,1.0833,4.5278,5.0000,4.9444,4.9722,4.2000,5.0000,1.0000,3.6857,5.0000,4.8889,3.7000,3.7429,4.2000,1.2857,3.5429,3.8857,4.2429,4.1286,1.1111,4.3611,4.9722,5.0000,4.8194,4.6528,4.8333,4.9722
technical_explanation,task_category,fixed_k1,6,1,1.00,1.00,5.00,5.00,0.0000,6605.0,0.83,1.00,0.00,1.83,1.48,51.20,4.5000,1.0000,1.0000,1.0000,2.0000,4.5000,4.0000,5.0000,1.0000,5.0000,4.3333,4.2500,2.6667,3.0000,2.8333,1.3333,2.8333,5.0000,3.1667,4.3333,1.7500,2.6667,5.0000,5.0000,4.3333,2.6667,3.5000,5.0000
technical_explanation,task_category,fixed_k2,6,2,2.00,2.00,9.83,9.50,0.0167,12833.3,0.83,1.00,0.00,1.83,2.86,53.97,5.0000,1.1667,2.6667,2.5000,3.0000,4.5000,4.1667,5.0000,1.0000,4.8333,4.8333,4.6667,3.1667,3.3333,3.1667,1.0000,3.1667,4.8333,3.5000,4.3333,1.3333,3.8333,5.0000,5.0000,4.8333,4.3333,4.3333,5.0000
technical_explanation,task_category,fixed_k4,6,4,4.00,4.00,18.67,17.00,0.0667,24387.8,0.83,1.00,0.00,1.83,6.07,59.17,4.8333,1.1667,3.8333,4.6667,4.1667,4.8333,4.3333,4.8333,1.0000,5.0000,4.6667,4.3333,3.6667,4.3333,3.6667,1.0000,3.8333,5.0000,3.8333,4.6667,1.6667,4.6667,5.0000,5.0000,5.0000,5.0000,4.8333,5.0000
technical_explanation,task_category,fixed_k8,6,8,8.00,8.00,37.33,30.50,0.0667,47168.5,0.83,1.00,0.00,1.83,12.23,71.55,4.8333,1.3333,4.6667,5.0000,5.0000,5.0000,4.5000,5.0000,1.0000,4.6667,5.0000,4.6667,4.0000,4.1667,4.3333,1.0000,4.1667,4.8333,4.5000,4.6667,1.3333,4.6667,5.0000,5.0000,5.0000,5.0000,4.8333,5.0000
travel_dining,task_category,fixed_k1,6,1,1.00,1.00,5.00,5.00,0.0000,6295.7,1.00,1.00,0.00,2.00,2.30,69.78,5.0000,1.0000,1.0000,1.0000,2.0000,4.8333,3.1667,5.0000,1.0000,3.3333,4.9667,4.8000,1.8333,2.5000,3.1667,2.3333,1.5000,3.8333,3.1667,3.1667,1.2500,1.5000,5.0000,5.0000,3.6667,1.5000,3.5000,5.0000
travel_dining,task_category,fixed_k2,6,2,2.00,2.00,9.83,9.50,0.0167,12224.2,1.00,1.00,0.00,2.00,4.73,74.19,4.8333,1.3333,2.1667,2.1667,2.6667,4.0000,3.1667,4.8333,1.0000,3.5000,4.6667,4.6667,2.3333,2.6667,3.1667,2.0000,2.0000,3.8333,3.0000,2.8333,1.3333,2.6667,4.3333,5.0000,3.6667,3.3333,4.0000,5.0000
travel_dining,task_category,fixed_k4,6,4,4.00,4.00,18.67,17.00,0.0667,22125.7,1.00,1.00,0.00,2.00,9.59,80.01,4.8333,1.1667,3.3333,4.5000,4.3333,4.6667,4.1667,5.0000,1.0000,3.8333,5.0000,4.8333,3.1667,3.5000,4.0000,1.8333,3.1667,3.8333,4.1667,4.0000,1.1667,4.1667,4.5000,5.0000,4.3333,4.5000,5.0000,5.0000
travel_dining,task_category,fixed_k8,6,8,8.00,8.00,37.00,32.50,0.0708,44071.0,1.00,1.00,0.00,2.00,18.25,94.17,4.5000,1.5000,4.1667,4.8333,4.5000,4.5000,4.1667,5.0000,1.0000,3.5000,5.0000,4.8333,3.1667,3.3333,4.1667,1.6667,3.1667,3.6667,3.8333,3.8333,1.1667,4.1667,4.3333,5.0000,4.3333,4.3333,4.8333,5.0000
